Cohort,FPR,TPR
GSE236713,0.7962264150943397,0.7966101694915254
GSE236713,0.7962264150943397,0.8135593220338984
GSE236713,0.8150943396226416,0.8135593220338984
GSE236713,0.8150943396226416,0.847457627118644
GSE236713,0.8188679245283019,0.847457627118644
GSE236713,0.8188679245283019,0.864406779661017
GSE236713,0.8452830188679246,0.864406779661017
GSE236713,0.8452830188679246,0.8813559322033898
GSE236713,0.8943396226415095,0.8813559322033898
GSE236713,0.8943396226415095,0.8983050847457628
GSE236713,0.909433962264151,0.8983050847457628
GSE236713,0.909433962264151,0.9152542372881356
GSE236713,0.9132075471698113,0.9152542372881356
GSE236713,0.9132075471698113,0.9322033898305084
GSE236713,0.9169811320754717,0.9322033898305084
GSE236713,0.9169811320754717,0.9661016949152542
GSE236713,0.9433962264150944,0.9661016949152542
GSE236713,0.9433962264150944,0.9830508474576272
GSE236713,0.9924528301886792,0.9830508474576272
GSE236713,0.9924528301886792,1.0
GSE236713,1.0,1.0
GSE26440,0.0,0.0
GSE26440,0.012345679012345678,0.0
GSE26440,0.024691358024691357,0.0
GSE26440,0.024691358024691357,0.11764705882352941
GSE26440,0.08641975308641975,0.11764705882352941
GSE26440,0.08641975308641975,0.17647058823529413
GSE26440,0.1111111111111111,0.17647058823529413
GSE26440,0.1111111111111111,0.23529411764705882
GSE26440,0.12345679012345678,0.23529411764705882
GSE26440,0.12345679012345678,0.29411764705882354
GSE26440,0.13580246913580246,0.29411764705882354
GSE26440,0.13580246913580246,0.35294117647058826
GSE26440,0.2345679012345679,0.35294117647058826
GSE26440,0.2345679012345679,0.4117647058823529
GSE26440,0.24691358024691357,0.4117647058823529
GSE26440,0.24691358024691357,0.5294117647058824
GSE26440,0.38271604938271603,0.5294117647058824
GSE26440,0.38271604938271603,0.5882352941176471
GSE26440,0.43209876543209874,0.5882352941176471
GSE26440,0.43209876543209874,0.6470588235294118
GSE26440,0.4444444444444444,0.6470588235294118
GSE26440,0.4444444444444444,0.7058823529411765
GSE26440,0.4567901234567901,0.7058823529411765
GSE26440,0.4567901234567901,0.7647058823529411
GSE26440,0.6049382716049383,0.7647058823529411
GSE26440,0.6049382716049383,0.8235294117647058
GSE26440,0.691358024691358,0.8235294117647058
GSE26440,0.691358024691358,0.8823529411764706
GSE26440,0.7407407407407407,0.8823529411764706
GSE26440,0.7407407407407407,1.0
GSE26440,1.0,1.0
GSE272769,0.0,0.0
GSE272769,0.0,0.016666666666666666
GSE272769,0.0,0.11666666666666667
GSE272769,0.009900990099009901,0.11666666666666667
GSE272769,0.009900990099009901,0.15
GSE272769,0.019801980198019802,0.15
GSE272769,0.019801980198019802,0.2
GSE272769,0.0297029702970297,0.2
GSE272769,0.0297029702970297,0.23333333333333334
GSE272769,0.039603960396039604,0.23333333333333334
